"Fecha","CO (mg/m3)","NO (ug/m3)","NO2 (ug/m3)","O3 (ug/m3)","PM10 (ug/m3)","PM25 (ug/m3)","SO2 (ug/m3)","Provincia","Estación"
"01/2023","","4","11","50","6","","2","Segovia","Segovia 2"
"01/2023","","3","1","54","","","3","Soria","Muriel de la Fuente"
"01/2023","","25","22","52","9","","2","Soria","Soria"
"01/2023","0,5","16","24","","15","9","","Valladolid","Arco de ladrillo II"
"01/2023","","15","23","","15","9","2","Valladolid","La rubia II"
"01/2023","","7","6","46","10","6","5","Valladolid","Medina del Campo"
"01/2023","","12","31","40","","","","Valladolid","Michelin1"
"01/2023","","5","6","44","","","","Valladolid","Michelin2"
"01/2023","","8","18","42","14","7","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"01/2023","","6","16","43","","","","Valladolid","Renault1"
"01/2023","0,2","14","23","","8","","","Valladolid","Renault2"
"01/2023","","9","22","","11","","","Valladolid","Renault3"
"01/2023","","6","14","37","","","","Valladolid","VALLADOLID SUR"
"01/2023","","13","20","41","10","6","","Valladolid","Vega Sicilia"
"01/2023","","7","14","40","9","","3","Zamora","Zamora 2"
"02/2023","","2","13","58","16","","2","Avila","Avila II"
"02/2023","0,6","10","14","49","25","","2","Burgos","Aranda de Duero 2"
"02/2023","0,4","5","14","","13","","1","Burgos","Burgos1"
"02/2023","","3","15","57","15","9","1","Burgos","Burgos4"
"02/2023","","1","4","55","","","3","Burgos","Medina de Pomar"
"02/2023","","6","23","39","24","","2","Burgos","Miranda de Ebro2"
"02/2023","","4","1","45","24","","6","León","Carracedelo"
"02/2023","","","","60","9","7","","León","Cubillos del Sil-FESE"
"02/2023","","4","9","50","25","","24","León","La Robla"
"02/2023","","1","4","74","","","","León","Lario"
"02/2023","","9","24","41","20","","1","León","Leon 4"
"02/2023","0,5","22","33","","30","14","5","León","Leon1"
"02/2023","","","","","17","","3","León","Otero"
"02/2023","","","","","31","","","León","Toral de los Vados"
"02/2023","","6","20","","26","","8","León","Tudela Veguin-Tudela Veguin"
"02/2023","","1","4","61","18","","3","León","Valderas"
"02/2023","","5","12","57","15","","18","Palencia","Guardo"
"02/2023","","5","10","52","26","","3","Palencia","Hontoria 1 - Poblado"
"02/2023","","6","6","56","21","","2","Palencia","Hontoria 2 - Venta de Baños"
"02/2023","","7","12","47","16","10","2","Palencia","Palencia 3"
"02/2023","","4","12","54","14","","","Palencia","Renault4"
"02/2023","","1","2","78","16","","2","Salamanca","El Maillo"
"02/2023","","10","15","","15","","4","Salamanca","Salamanca5"
"02/2023","","2","10","44","20","10","","Salamanca","Salamanca6"
"02/2023","","4","15","53","14","","2","Segovia","Segovia 2"
"02/2023","","2","2","59","","","5","Soria","Muriel de la Fuente"
"02/2023","0,4","28","32","49","21","","2","Soria","Soria"
"02/2023","0,6","18","29","","30","14","","Valladolid","Arco de ladrillo II"
"02/2023","","17","29","","29","15","2","Valladolid","La rubia II"
"02/2023","","6","6","46","","","4","Valladolid","Medina del Campo"
"02/2023","","7","26","39","","","","Valladolid","Michelin1"
"02/2023","","3","1","48","","","","Valladolid","Michelin2"
"02/2023","","8","23","40","27","12","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"02/2023","","8","24","42","","","","Valladolid","Renault1"
"02/2023","0,4","13","25","","27","","","Valladolid","Renault2"
"02/2023","","10","28","","24","","","Valladolid","Renault3"
"02/2023","","7","20","37","","","","Valladolid","VALLADOLID SUR"
"02/2023","","15","27","39","23","11","","Valladolid","Vega Sicilia"
"02/2023","","8","15","40","21","","2","Zamora","Zamora 2"
"03/2023","","2","8","67","8","","2","Avila","Avila II"
"03/2023","0,4","5","11","60","20","","3","Burgos","Aranda de Duero 2"
"03/2023","0,5","4","9","","14","","1","Burgos","Burgos1"
"03/2023","","2","9","69","9","5","2","Burgos","Burgos4"
"03/2023","","1","3","63","","","3","Burgos","Medina de Pomar"
"03/2023","","2","14","54","14","","2","Burgos","Miranda de Ebro2"
"03/2023","","2","1","63","14","","4","León","Carracedelo"
"03/2023","","","","65","6","3","","León","Cubillos del Sil-FESE"
"03/2023","","4","7","52","22","","14","León","La Robla"
"03/2023","","1","3","72","","","2","León","Lario"
"03/2023","","6","11","55","13","","1","León","Leon 4"
"03/2023","0,3","9","11","","18","8","2","León","Leon1"
"03/2023","","","","","11","","4","León","Otero"
"03/2023","","9","18","","21","","6","León","Ponferrada6"
"03/2023","","","","","13","","","León","Toral de los Vados"
"03/2023","","5","13","","23","","5","León","Tudela Veguin-Tudela Veguin"
"03/2023","","1","3","68","14","","2","León","Valderas"
"03/2023","","4","9","58","11","","11","Palencia","Guardo"
"03/2023","","5","8","60","14","","5","Palencia","Hontoria 1 - Poblado"
"03/2023","","5","5","64","13","","1","Palencia","Hontoria 2 - Venta de Baños"
"03/2023","","4","6","57","10","7","2","Palencia","Palencia 3"
"03/2023","","3","10","61","10","","","Palencia","Renault4"
"03/2023","","1","5","82","7","","1","Salamanca","El Maillo"
"03/2023","","5","11","","9","","3","Salamanca","Salamanca5"
"03/2023","","2","8","54","11","4","","Salamanca","Salamanca6"
"03/2023","","3","11","62","6","","1","Segovia","Segovia 2"
"03/2023","","3","3","61","15","","2","Soria","Muriel de la Fuente"
"03/2023","0,2","21","20","63","12","","2","Soria","Soria"
"03/2023","","10","22","","20","10","5","Valladolid","La rubia II"
"03/2023","","2","2","59","","","1","Valladolid","Medina del Campo"
"03/2023","","3","21","53","","","","Valladolid","Michelin1"
"03/2023","","2","1","60","","","","Valladolid","Michelin2"
"03/2023","","5","17","54","16","9","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"03/2023","","3","12","58","","","","Valladolid","Renault1"
"03/2023","0,2","8","19","","7","","","Valladolid","Renault2"
"03/2023","","6","22","","15","","","Valladolid","Renault3"
"03/2023","","5","15","49","","","","Valladolid","VALLADOLID SUR"
"03/2023","","6","15","55","14","6","","Valladolid","Vega Sicilia"
"03/2023","","5","11","56","","","2","Zamora","Zamora 2"
"04/2023","","2","7","77","9","","2","Avila","Avila II"
"04/2023","0,4","3","9","69","21","","2","Burgos","Aranda de Duero 2"
"04/2023","0,3","5","11","","15","","2","Burgos","Burgos1"
"04/2023","","6","13","69","13","6","2","Burgos","Burgos4"
"04/2023","","1","2","68","","","3","Burgos","Medina de Pomar"
"04/2023","","2","12","60","11","","2","Burgos","Miranda de Ebro2"
"04/2023","","2","1","67","14","","1","León","Carracedelo"
"04/2023","","","","69","5","2","","León","Cubillos del Sil-FESE"
"04/2023","","4","6","58","18","","9","León","La Robla"
"04/2023","","1","3","67","","","2","León","Lario"
"04/2023","","2","3","63","13","","1","León","Leon 4"
"04/2023","0,4","7","5","","17","6","5","León","Leon1"
"04/2023","","","","","11","","4","León","Otero"
"04/2023","","7","13","","18","","3","León","Ponferrada6"
"04/2023","","","","","15","","","León","Toral de los Vados"
"04/2023","","5","10","","16","","3","León","Tudela Veguin-Tudela Veguin"
"04/2023","","1","3","76","18","","2","León","Valderas"
"04/2023","","3","7","62","12","","12","Palencia","Guardo"
"04/2023","","5","8","66","18","","6","Palencia","Hontoria 1 - Poblado"
"04/2023","","5","5","71","18","","5","Palencia","Hontoria 2 - Venta de Baños"
"04/2023","","3","3","63","13","8","2","Palencia","Palencia 3"
"04/2023","","3","10","70","11","","","Palencia","Renault4"
"04/2023","","4","5","87","12","","2","Salamanca","El Maillo"
"04/2023","","4","13","","12","","2","Salamanca","Salamanca5"
"04/2023","","1","7","58","14","3","","Salamanca","Salamanca6"
"04/2023","","2","12","79","11","","1","Segovia","Segovia 2"
"04/2023","","3","3","68","20","","3","Soria","Muriel de la Fuente"
"04/2023","0,2","17","17","73","13","","2","Soria","Soria"
"04/2023","","5","17","","23","7","7","Valladolid","La rubia II"
"04/2023","","2","2","65","17","6","4","Valladolid","Medina del Campo"
"04/2023","","2","16","64","","","","Valladolid","Michelin1"
"04/2023","","2","1","70","","","","Valladolid","Michelin2"
"04/2023","","3","13","64","19","7","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"04/2023","","2","11","68","","","","Valladolid","Renault1"
"04/2023","0,3","4","14","","9","","","Valladolid","Renault2"
"04/2023","","4","20","","10","","","Valladolid","Renault3"
"04/2023","","3","11","63","","","","Valladolid","VALLADOLID SUR"
"04/2023","","3","12","67","18","6","","Valladolid","Vega Sicilia"
"04/2023","","4","9","62","17","","2","Zamora","Zamora 2"
"05/2023","","6","3","74","10","","2","Avila","Avila II"
"05/2023","0,3","2","8","79","17","","2","Burgos","Aranda de Duero 2"
"05/2023","0,1","5","2","","15","","2","Burgos","Burgos1"
"05/2023","","5","9","79","12","5","2","Burgos","Burgos4"
"05/2023","","1","1","75","","","2","Burgos","Medina de Pomar"
"05/2023","","2","10","65","14","","2","Burgos","Miranda de Ebro2"
"05/2023","","1","1","69","14","","2","León","Carracedelo"
"05/2023","","","","77","5","4","","León","Cubillos del Sil-FESE"
"05/2023","","3","5","65","16","","8","León","La Robla"
"05/2023","","1","4","72","","","3","León","Lario"
"05/2023","","2","6","72","11","","1","León","Leon 4"
"05/2023","0,2","5","14","","12","7","","León","Leon1"
"05/2023","","","","","12","","1","León","Otero"
"05/2023","","4","7","","21","","2","León","Ponferrada6"
"05/2023","","","","","21","","","León","Toral de los Vados"
"05/2023","","4","8","","7","","3","León","Tudela Veguin-Tudela Veguin"
"05/2023","","1","3","83","18","","2","León","Valderas"
"05/2023","","3","6","70","14","","10","Palencia","Guardo"
"05/2023","","5","7","79","17","","2","Palencia","Hontoria 1 - Poblado"
"05/2023","","6","6","82","16","","1","Palencia","Hontoria 2 - Venta de Baños"
"05/2023","","2","2","76","12","8","1","Palencia","Palencia 3"
"05/2023","","2","6","83","9","","","Palencia","Renault4"
"05/2023","","1","6","89","8","","1","Salamanca","El Maillo"
"05/2023","","2","6","","12","","1","Salamanca","Salamanca5"
"05/2023","","2","3","70","14","3","","Salamanca","Salamanca6"
"05/2023","","3","12","75","7","","2","Segovia","Segovia 2"
"05/2023","","2","3","74","17","","2","Soria","Muriel de la Fuente"
"05/2023","0,1","11","13","81","12","","1","Soria","Soria"
"05/2023","0,2","5","15","","25","11","","Valladolid","Arco de ladrillo II"
"05/2023","","4","13","","21","9","7","Valladolid","La rubia II"
"05/2023","","5","5","76","","","6","Valladolid","Medina del Campo"
"05/2023","","2","12","75","","","","Valladolid","Michelin1"
"05/2023","","1","1","79","","","","Valladolid","Michelin2"
"05/2023","","2","9","74","16","8","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"05/2023","","2","8","78","","","","Valladolid","Renault1"
"05/2023","0,3","3","11","","8","","","Valladolid","Renault2"
"05/2023","","2","12","","15","","","Valladolid","Renault3"
"05/2023","","1","8","72","","","","Valladolid","VALLADOLID SUR"
"05/2023","","2","9","77","20","6","","Valladolid","Vega Sicilia"
"05/2023","","2","7","74","13","","2","Zamora","Zamora 2"
"06/2023","","6","2","74","11","","3","Avila","Avila II"
"06/2023","0,3","2","9","78","16","","2","Burgos","Aranda de Duero 2"
"06/2023","0,1","3","1","","14","","3","Burgos","Burgos1"
"06/2023","","1","8","67","11","3","3","Burgos","Burgos4"
"06/2023","","1","2","63","","","2","Burgos","Medina de Pomar"
"06/2023","","2","8","57","11","","1","Burgos","Miranda de Ebro2"
"06/2023","","1","3","56","13","","3","León","Carracedelo"
"06/2023","","","","65","5","3","","León","Cubillos del Sil-FESE"
"06/2023","","3","5","62","15","","5","León","La Robla"
"06/2023","","1","3","56","","","2","León","Lario"
"06/2023","","5","6","67","10","","1","León","Leon 4"
"06/2023","0,2","4","14","","13","6","2","León","Leon1"
"06/2023","","","","","13","","1","León","Otero"
"06/2023","","7","15","","23","","2","León","Ponferrada6"
"06/2023","","","","","16","","","León","Toral de los Vados"
"06/2023","","5","11","","6","","6","León","Tudela Veguin-Tudela Veguin"
"06/2023","","3","3","79","19","","1","León","Valderas"
"06/2023","","3","7","62","11","","5","Palencia","Guardo"
"06/2023","","4","8","73","15","","1","Palencia","Hontoria 1 - Poblado"
"06/2023","","8","6","78","14","","3","Palencia","Hontoria 2 - Venta de Baños"
"06/2023","","2","2","71","11","8","2","Palencia","Palencia 3"
"06/2023","","2","6","77","10","","","Palencia","Renault4"
"06/2023","","1","5","84","6","","2","Salamanca","El Maillo"
"06/2023","","3","9","","13","","2","Salamanca","Salamanca5"
"06/2023","","4","4","67","13","3","","Salamanca","Salamanca6"
"06/2023","","4","11","75","10","","2","Segovia","Segovia 2"
"06/2023","","1","9","64","17","","3","Soria","Muriel de la Fuente"
"06/2023","0,1","8","16","70","12","","2","Soria","Soria"
"06/2023","0,3","4","16","","15","7","","Valladolid","Arco de ladrillo II"
"06/2023","","5","14","","14","6","","Valladolid","La rubia II"
"06/2023","","7","4","71","","","5","Valladolid","Medina del Campo"
"06/2023","","2","14","71","","","","Valladolid","Michelin1"
"06/2023","","2","1","73","","","","Valladolid","Michelin2"
"06/2023","","2","10","71","12","7","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"06/2023","","2","6","75","","","","Valladolid","Renault1"
"06/2023","0,1","3","12","","7","","","Valladolid","Renault2"
"06/2023","","2","9","","17","","","Valladolid","Renault3"
"06/2023","","1","9","72","","","","Valladolid","VALLADOLID SUR"
"06/2023","","2","10","74","15","6","","Valladolid","Vega Sicilia"
"06/2023","","2","9","72","12","","2","Zamora","Zamora 2"
"07/2023","","3","2","74","17","","3","Avila","Avila II"
"07/2023","0,4","2","8","69","27","","2","Burgos","Aranda de Duero 2"
"07/2023","0,3","2","1","","15","","3","Burgos","Burgos1"
"07/2023","","2","9","65","14","4","2","Burgos","Burgos4"
"07/2023","","1","2","58","","","2","Burgos","Medina de Pomar"
"07/2023","","8","8","56","14","","1","Burgos","Miranda de Ebro2"
"07/2023","","1","3","57","13","","1","León","Carracedelo"
"07/2023","","","","62","5","2","","León","Cubillos del Sil-FESE"
"07/2023","","3","4","66","16","","3","León","La Robla"
"07/2023","","1","4","50","","","3","León","Lario"
"07/2023","","5","6","58","11","","1","León","Leon 4"
"07/2023","0,3","4","11","","12","5","3","León","Leon1"
"07/2023","","","","","12","","1","León","Otero"
"07/2023","","7","10","","20","","2","León","Ponferrada6"
"07/2023","","","","","15","","","León","Toral de los Vados"
"07/2023","","5","9","","8","","7","León","Tudela Veguin-Tudela Veguin"
"07/2023","","1","3","72","21","","1","León","Valderas"
"07/2023","","2","5","60","12","","4","Palencia","Guardo"
"07/2023","","5","9","69","19","","1","Palencia","Hontoria 1 - Poblado"
"07/2023","","10","8","72","23","","4","Palencia","Hontoria 2 - Venta de Baños"
"07/2023","","2","3","64","12","8","2","Palencia","Palencia 3"
"07/2023","","2","6","72","12","","","Palencia","Renault4"
"07/2023","","1","5","79","13","","2","Salamanca","El Maillo"
"07/2023","","2","5","","14","","2","Salamanca","Salamanca5"
"07/2023","","2","3","67","15","4","","Salamanca","Salamanca6"
"07/2023","","3","16","73","17","","2","Segovia","Segovia 2"
"07/2023","","1","7","58","22","","3","Soria","Muriel de la Fuente"
"07/2023","0,1","7","15","65","16","","2","Soria","Soria"
"07/2023","0,4","4","15","","20","6","","Valladolid","Arco de ladrillo II"
"07/2023","","4","13","","18","6","2","Valladolid","La rubia II"
"07/2023","","7","4","70","","","3","Valladolid","Medina del Campo"
"07/2023","","1","10","68","","","","Valladolid","Michelin1"
"07/2023","","1","1","70","","","","Valladolid","Michelin2"
"07/2023","","2","9","65","16","7","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"07/2023","","1","5","71","","","","Valladolid","Renault1"
"07/2023","0,1","3","12","","10","","","Valladolid","Renault2"
"07/2023","","2","6","","23","","","Valladolid","Renault3"
"07/2023","","1","8","68","","","","Valladolid","VALLADOLID SUR"
"07/2023","","2","10","68","18","5","","Valladolid","Vega Sicilia"
"07/2023","","3","6","69","13","","1","Zamora","Zamora 2"
"08/2023","","1","2","72","18","","3","Avila","Avila II"
"08/2023","0,5","3","10","66","31","","2","Burgos","Aranda de Duero 2"
"08/2023","0,6","2","1","","16","","3","Burgos","Burgos1"
"08/2023","","2","8","70","14","4","2","Burgos","Burgos4"
"08/2023","","2","2","66","","","2","Burgos","Medina de Pomar"
"08/2023","","2","8","65","13","","1","Burgos","Miranda de Ebro2"
"08/2023","","2","3","61","19","","1","León","Carracedelo"
"08/2023","","","","66","5","2","","León","Cubillos del Sil-FESE"
"08/2023","","2","3","68","19","","2","León","La Robla"
"08/2023","","2","5","51","","","3","León","Lario"
"08/2023","","5","6","61","14","","1","León","Leon 4"
"08/2023","0,2","7","17","","14","5","3","León","Leon1"
"08/2023","","","","","15","","2","León","Otero"
"08/2023","","7","9","","22","","2","León","Ponferrada6"
"08/2023","","","","","21","","","León","Toral de los Vados"
"08/2023","","6","8","","","","8","León","Tudela Veguin-Tudela Veguin"
"08/2023","","1","2","74","22","","1","León","Valderas"
"08/2023","","3","6","62","15","","4","Palencia","Guardo"
"08/2023","","5","13","67","24","","2","Palencia","Hontoria 1 - Poblado"
"08/2023","","9","8","73","26","","4","Palencia","Hontoria 2 - Venta de Baños"
"08/2023","","3","4","62","14","10","2","Palencia","Palencia 3"
"08/2023","","2","6","73","15","","","Palencia","Renault4"
"08/2023","","1","4","80","18","","2","Salamanca","El Maillo"
"08/2023","","3","5","","16","","2","Salamanca","Salamanca5"
"08/2023","","1","6","62","18","4","","Salamanca","Salamanca6"
"08/2023","","1","16","75","19","","2","Segovia","Segovia 2"
"08/2023","","1","5","61","23","","3","Soria","Muriel de la Fuente"
"08/2023","0,1","7","17","69","18","","2","Soria","Soria"
"08/2023","0,3","5","18","","22","6","","Valladolid","Arco de ladrillo II"
"08/2023","","4","15","","20","6","3","Valladolid","La rubia II"
"08/2023","","8","5","67","29","8","4","Valladolid","Medina del Campo"
"08/2023","","1","10","68","","","","Valladolid","Michelin1"
"08/2023","","1","1","71","","","","Valladolid","Michelin2"
"08/2023","","2","10","67","18","6","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"08/2023","","2","7","73","","","","Valladolid","Renault1"
"08/2023","0,2","4","12","","8","","","Valladolid","Renault2"
"08/2023","","2","8","","27","","","Valladolid","Renault3"
"08/2023","","2","9","69","","","","Valladolid","VALLADOLID SUR"
"08/2023","","2","12","68","21","5","","Valladolid","Vega Sicilia"
"08/2023","","4","7","68","16","","1","Zamora","Zamora 2"
"09/2023","","1","2","65","12","","3","Avila","Avila II"
"09/2023","0,5","3","10","59","18","","2","Burgos","Aranda de Duero 2"
"09/2023","0,3","9","2","","17","","3","Burgos","Burgos1"
"09/2023","","2","11","61","15","5","2","Burgos","Burgos4"
"09/2023","","1","3","62","","","2","Burgos","Medina de Pomar"
"09/2023","","3","10","56","17","","1","Burgos","Miranda de Ebro2"
"09/2023","","2","4","43","12","","1","León","Carracedelo"
"09/2023","","","","59","3","2","","León","Cubillos del Sil-FESE"
"09/2023","","4","2","53","15","","2","León","La Robla"
"09/2023","","1","3","54","","","1","León","Lario"
"09/2023","","5","6","52","11","","1","León","Leon 4"
"09/2023","0,1","5","12","","","6","2","León","Leon1"
"09/2023","","","","","14","","3","León","Otero"
"09/2023","","7","14","","19","","3","León","Ponferrada6"
"09/2023","","","","","17","","","León","Toral de los Vados"
"09/2023","","3","8","","15","","9","León","Tudela Veguin-Tudela Veguin"
"09/2023","","2","4","67","15","","1","León","Valderas"
"09/2023","","3","7","55","11","","3","Palencia","Guardo"
"09/2023","","5","16","57","15","","2","Palencia","Hontoria 1 - Poblado"
"09/2023","","8","6","62","14","","5","Palencia","Hontoria 2 - Venta de Baños"
"09/2023","","5","8","53","12","9","2","Palencia","Palencia 3"
"09/2023","","3","10","62","24","","","Palencia","Renault4"
"09/2023","","1","9","75","8","","2","Salamanca","El Maillo"
"09/2023","","4","9","","12","","2","Salamanca","Salamanca5"
"09/2023","","2","9","51","12","3","","Salamanca","Salamanca6"
"09/2023","","7","15","66","12","","1","Segovia","Segovia 2"
"09/2023","","1","1","49","25","","3","Soria","Muriel de la Fuente"
"09/2023","0,1","9","18","58","20","","2","Soria","Soria"
"09/2023","0,4","11","25","","18","7","","Valladolid","Arco de ladrillo II"
"09/2023","","7","20","","17","8","4","Valladolid","La rubia II"
"09/2023","","7","5","55","14","6","4","Valladolid","Medina del Campo"
"09/2023","","3","17","55","","","","Valladolid","Michelin1"
"09/2023","","3","11","59","","","","Valladolid","Michelin2"
"09/2023","","7","18","50","16","8","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"09/2023","","3","10","60","","","","Valladolid","Renault1"
"09/2023","0,2","9","17","","6","","","Valladolid","Renault2"
"09/2023","","4","12","","19","","","Valladolid","Renault3"
"09/2023","","4","14","53","","","","Valladolid","VALLADOLID SUR"
"09/2023","","6","17","55","18","6","","Valladolid","Vega Sicilia"
"09/2023","","5","11","57","11","","1","Zamora","Zamora 2"
"10/2023","","2","3","56","13","","3","Avila","Avila II"
"10/2023","0,4","4","10","55","21","","2","Burgos","Aranda de Duero 2"
"10/2023","0,2","7","17","","18","","3","Burgos","Burgos1"
"10/2023","","2","8","63","10","4","2","Burgos","Burgos4"
"10/2023","","1","3","62","","","2","Burgos","Medina de Pomar"
"10/2023","","3","11","57","15","","2","Burgos","Miranda de Ebro2"
"10/2023","","2","6","35","16","","1","León","Carracedelo"
"10/2023","","","","58","4","3","","León","Cubillos del Sil-FESE"
"10/2023","","2","4","51","18","","4","León","La Robla"
"10/2023","","1","1","58","","","1","León","Lario"
"10/2023","","5","7","49","13","","1","León","Leon 4"
"10/2023","0,1","9","20","","16","7","2","León","Leon1"
"10/2023","","","","","14","","2","León","Otero"
"10/2023","","9","20","","21","","3","León","Ponferrada6"
"10/2023","","","","","16","","","León","Toral de los Vados"
"10/2023","","3","7","","23","","6","León","Tudela Veguin-Tudela Veguin"
"10/2023","","1","2","64","18","","1","León","Valderas"
"10/2023","","4","5","53","12","","5","Palencia","Guardo"
"10/2023","","6","16","54","23","","1","Palencia","Hontoria 1 - Poblado"
"10/2023","","7","6","57","17","","5","Palencia","Hontoria 2 - Venta de Baños"
"10/2023","","5","8","49","16","9","2","Palencia","Palencia 3"
"10/2023","","3","8","58","26","","","Palencia","Renault4"
"10/2023","","3","6","75","15","","2","Salamanca","El Maillo"
"10/2023","","6","11","","14","","3","Salamanca","Salamanca5"
"10/2023","","2","7","48","16","4","","Salamanca","Salamanca6"
"10/2023","","2","10","64","9","","2","Segovia","Segovia 2"
"10/2023","","1","1","53","18","","2","Soria","Muriel de la Fuente"
"10/2023","0,3","10","19","55","14","","2","Soria","Soria"
"10/2023","0,5","11","25","","21","8","","Valladolid","Arco de ladrillo II"
"10/2023","","9","22","","19","11","3","Valladolid","La rubia II"
"10/2023","","7","4","54","20","7","4","Valladolid","Medina del Campo"
"10/2023","","3","18","49","","","","Valladolid","Michelin1"
"10/2023","","1","11","56","","","","Valladolid","Michelin2"
"10/2023","","9","18","47","19","8","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"10/2023","","3","9","56","","","","Valladolid","Renault1"
"10/2023","0,2","9","14","","12","","","Valladolid","Renault2"
"10/2023","","4","10","","20","","","Valladolid","Renault3"
"10/2023","","4","15","48","","","","Valladolid","VALLADOLID SUR"
"10/2023","","11","16","48","21","6","","Valladolid","Vega Sicilia"
"10/2023","","7","13","50","16","","1","Zamora","Zamora 2"
"11/2023","","3","3","46","7","","3","Avila","Avila II"
"11/2023","0,6","4","9","49","12","","2","Burgos","Aranda de Duero 2"
"11/2023","0,2","6","14","","9","","3","Burgos","Burgos1"
"11/2023","","2","6","57","6","3","2","Burgos","Burgos4"
"11/2023","","1","2","55","","","3","Burgos","Medina de Pomar"
"11/2023","","4","12","49","9","","1","Burgos","Miranda de Ebro2"
"11/2023","","4","6","28","13","","1","León","Carracedelo"
"11/2023","","","","46","4","4","","León","Cubillos del Sil-FESE"
"11/2023","","2","6","39","17","","10","León","La Robla"
"11/2023","","1","2","55","","","2","León","Lario"
"11/2023","","4","10","42","11","","1","León","Leon 4"
"11/2023","0,2","10","13","","15","8","3","León","Leon1"
"11/2023","","","","","10","","1","León","Otero"
"11/2023","","14","26","","21","","","León","Ponferrada6"
"11/2023","","","","","14","","","León","Toral de los Vados"
"11/2023","","1","9","","19","","5","León","Tudela Veguin-Tudela Veguin"
"11/2023","","1","1","55","10","","1","León","Valderas"
"11/2023","","6","8","43","10","","7","Palencia","Guardo"
"11/2023","","3","7","50","7","","1","Palencia","Hontoria 1 - Poblado"
"11/2023","","7","7","48","6","","4","Palencia","Hontoria 2 - Venta de Baños"
"11/2023","","5","5","45","7","5","2","Palencia","Palencia 3"
"11/2023","","1","7","61","7","","2","Salamanca","El Maillo"
"11/2023","","9","14","","9","","2","Salamanca","Salamanca5"
"11/2023","","4","6","45","9","5","","Salamanca","Salamanca6"
"11/2023","","5","8","48","15","","2","Segovia","Segovia 2"
"11/2023","","1","1","45","12","","2","Soria","Muriel de la Fuente"
"11/2023","","15","16","52","10","","2","Soria","Soria"
"11/2023","0,2","14","20","","13","7","","Valladolid","Arco de ladrillo II"
"11/2023","","14","20","","11","7","2","Valladolid","La rubia II"
"11/2023","","7","3","45","9","6","4","Valladolid","Medina del Campo"
"11/2023","","5","17","39","","","","Valladolid","Michelin1"
"11/2023","","3","7","46","","","","Valladolid","Michelin2"
"11/2023","","11","16","40","10","6","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"11/2023","","4","9","44","","","","Valladolid","Renault1"
"11/2023","0,2","9","13","","4","","","Valladolid","Renault2"
"11/2023","","6","9","","15","","","Valladolid","Renault3"
"11/2023","","8","13","40","","","","Valladolid","VALLADOLID SUR"
"11/2023","","14","13","42","12","5","","Valladolid","Vega Sicilia"
"11/2023","","7","9","47","8","","1","Zamora","Zamora 2"
"12/2023","","4","11","38","11","","3","Avila","Avila II"
"12/2023","0,8","6","12","40","12","","2","Burgos","Aranda de Duero 2"
"12/2023","0,4","10","19","","8","","3","Burgos","Burgos1"
"12/2023","","4","10","50","6","3","2","Burgos","Burgos4"
"12/2023","","5","15","40","11","","2","Burgos","Miranda de Ebro2"
"12/2023","","3","7","20","12","","1","León","Carracedelo"
"12/2023","","","","27","6","6","","León","Cubillos del Sil-FESE"
"12/2023","","3","10","32","19","","13","León","La Robla"
"12/2023","","1","2","55","","","2","León","Lario"
"12/2023","","7","15","27","13","","1","León","Leon 4"
"12/2023","0,6","16","18","","20","13","4","León","Leon1"
"12/2023","","","","","9","","2","León","Otero"
"12/2023","","21","28","","26","","7","León","Ponferrada6"
"12/2023","","","","","13","","","León","Toral de los Vados"
"12/2023","","3","16","","20","","6","León","Tudela Veguin-Tudela Veguin"
"12/2023","","1","4","46","8","","1","León","Valderas"
"12/2023","","5","11","39","9","","11","Palencia","Guardo"
"12/2023","","5","10","38","8","","1","Palencia","Hontoria 1 - Poblado"
"12/2023","","3","7","35","7","","2","Palencia","Hontoria 2 - Venta de Baños"
"12/2023","","8","10","31","8","6","2","Palencia","Palencia 3"
"12/2023","","5","11","35","19","","","Palencia","Renault4"
"12/2023","","1","9","62","1","","2","Salamanca","El Maillo"
"12/2023","","13","17","","8","","3","Salamanca","Salamanca5"
"12/2023","","6","7","37","9","6","","Salamanca","Salamanca6"
"12/2023","","6","10","42","14","","2","Segovia","Segovia 2"
"12/2023","","1","1","42","10","","3","Soria","Muriel de la Fuente"
"12/2023","","27","26","41","10","","2","Soria","Soria"
"12/2023","0,5","23","26","","17","12","","Valladolid","Arco de ladrillo II"
"12/2023","","23","25","","16","11","2","Valladolid","La rubia II"
"12/2023","","8","3","36","10","8","4","Valladolid","Medina del Campo"
"12/2023","","8","17","27","","","","Valladolid","Michelin1"
"12/2023","","6","15","33","","","","Valladolid","Michelin2"
"12/2023","","12","22","","14","10","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
